date,quarter,revenue,operating_expenses,capital_expenditures,net_cashflow,cash_balance,cash_flow_category,forecast_accuracy
2023-01-01,Q1,308301.18,77914.82,38066.78,192319.58,399873.56,operating,0.962
2023-01-02,Q1,353779.77,82800.79,14648.37,256330.61,656204.17,operating,0.967
2023-01-03,Q1,185500.25,166406.94,0.0,19093.31,675297.48,investing,0.892
2023-01-04,Q1,164473.04,89707.54,0.0,74765.5,750062.98,financing,0.851
2023-01-05,Q1,249443.41,112382.84,19338.57,117722.0,867784.98,financing,0.974
2023-01-06,Q1,423436.49,151159.5,0.0,272276.99,1140061.97,financing,0.908
2023-01-07,Q1,98419.21,60737.98,70130.35,-32449.12,1107612.85,investing,0.953
2023-01-08,Q1,241791.57,74633.25,0.0,167158.32,1274771.17,investing,0.921
2023-01-09,Q1,162038.86,145808.28,0.0,16230.58,1291001.75,financing,0.896
2023-01-10,Q1,151217.02,126189.06,85637.69,-60609.73,1230392.02,investing,0.863
2023-01-11,Q1,183961.78,80597.49,0.0,103364.29,1333756.31,investing,0.859
2023-01-12,Q1,215249.82,139946.66,69867.39,5435.77,1339192.08,financing,0.973
2023-01-13,Q1,128195.17,74059.37,17792.87,36342.94,1375535.02,financing,0.951
2023-01-14,Q1,58774.42,184981.84,0.0,-126207.41,1249327.61,operating,0.968
2023-01-15,Q1,161214.64,66104.25,0.0,95110.39,1344438.0,financing,0.851
2023-01-16,Q1,115708.42,96830.94,0.0,18877.49,1363315.49,investing,0.865
2023-01-17,Q1,191254.31,70905.81,0.0,120348.5,1483663.99,investing,0.947
2023-01-18,Q1,208218.49,102288.16,0.0,105930.33,1589594.32,financing,0.899
2023-01-19,Q1,229824.67,84078.97,0.0,145745.7,1735340.02,financing,0.879
2023-01-20,Q1,168522.8,146298.12,0.0,22224.68,1757564.7,financing,0.979
2023-01-21,Q1,170900.71,72460.44,0.0,98440.27,1856004.97,financing,0.976
2023-01-22,Q1,507819.14,116132.92,14300.61,377385.61,2233390.58,operating,0.932
2023-01-23,Q1,412496.71,139934.29,26458.74,246103.67,2479494.25,investing,0.856
2023-01-24,Q1,153973.23,145877.67,0.0,8095.56,2487589.81,investing,0.931
2023-01-25,Q1,106952.39,77671.44,2633.59,26647.36,2514237.17,operating,0.926
2023-01-26,Q1,125131.75,45932.0,0.0,79199.75,2593436.92,investing,0.956
2023-01-27,Q1,195094.28,68915.34,36023.23,90155.71,2683592.63,financing,0.968
2023-01-28,Q1,235857.13,178200.3,0.0,57656.83,2741249.46,operating,0.904
2023-01-29,Q1,293525.58,81824.32,3971.37,207729.9,2948979.36,financing,0.976
2023-01-30,Q1,320275.29,110222.25,29106.68,180946.36,3129925.72,investing,0.911
2023-01-31,Q1,73334.48,77671.99,0.0,-4337.51,3125588.21,operating,0.857
