date,ticker,marketCap,size_category,Total Cash From Operating Activities,Net Income,Depreciation And Amortization,Change In Working Capital,Total Revenue,Gross Profit,Operating Income,Total Assets,Accounts Receivable,Inventory,Accounts Payable
2024-01-31,A,34981117952,Large-Cap,,,,,,,,,,,
2024-04-30,A,34981117952,Large-Cap,,,,,,,,,,,
2024-07-31,A,34981117952,Large-Cap,,282000000.0,63000000.0,66000000.0,1578000000.0,855000000.0,333000000.0,10996000000.0,983000000.0,978000000.0,497000000.0
2024-10-31,A,34981117952,Large-Cap,,351000000.0,69000000.0,71000000.0,1701000000.0,916000000.0,408000000.0,11846000000.0,1324000000.0,972000000.0,540000000.0
2025-01-31,A,34981117952,Large-Cap,,318000000.0,72000000.0,2000000.0,1681000000.0,899000000.0,376000000.0,11914000000.0,1080000000.0,997000000.0,547000000.0
2025-04-30,A,34981117952,Large-Cap,,215000000.0,73000000.0,-136000000.0,1668000000.0,866000000.0,300000000.0,12158000000.0,1077000000.0,991000000.0,517000000.0
2025-07-31,A,34981117952,Large-Cap,,336000000.0,72000000.0,-82000000.0,1738000000.0,888000000.0,360000000.0,12226000000.0,1088000000.0,1014000000.0,530000000.0
2023-12-31,AAL,7462664192,Mid-Cap,,,,,,,,,,,
2024-03-31,AAL,7462664192,Mid-Cap,,,,,,,,,,,
2024-06-30,AAL,7462664192,Mid-Cap,,717000000.0,,,14334000000.0,3480000000.0,1384000000.0,64125000000.0,2067000000.0,2575000000.0,3016000000.0
2024-09-30,AAL,7462664192,Mid-Cap,,-149000000.0,,,13647000000.0,2779000000.0,643000000.0,63528000000.0,1820000000.0,2582000000.0,2623000000.0
2024-12-31,AAL,7462664192,Mid-Cap,,590000000.0,,,13660000000.0,3186000000.0,1119000000.0,61783000000.0,2006000000.0,2638000000.0,2455000000.0
2025-03-31,AAL,7462664192,Mid-Cap,,-473000000.0,,,12551000000.0,1878000000.0,-200000000.0,62609000000.0,1928000000.0,2653000000.0,3114000000.0
2025-06-30,AAL,7462664192,Mid-Cap,,599000000.0,,,14392000000.0,3416000000.0,1182000000.0,63667000000.0,2057000000.0,2776000000.0,3130000000.0
2023-12-31,AAP,3659081728,Mid-Cap,,,,,,,,,,,
2024-03-31,AAP,3659081728,Mid-Cap,,,,,,,,,,,
2024-04-30,AAP,3659081728,Mid-Cap,,,,,,,,,,,
2024-06-30,AAP,3659081728,Mid-Cap,,45000000.0,68000000.0,-81000000.0,2178000000.0,950000000.0,61000000.0,12289806000.0,865921000.0,4903490000.0,4048321000.0
2024-09-30,AAP,3659081728,Mid-Cap,,-6014000.0,66197000.0,-20566000.0,2147991000.0,907898000.0,403000.0,12468184000.0,684026000.0,4042200000.0,3498460000.0
2024-12-31,AAP,3659081728,Mid-Cap,,-414777000.0,74783000.0,606027000.0,1996025000.0,347116000.0,-820003000.0,10798109000.0,573683000.0,3612081000.0,3407889000.0
2025-03-31,AAP,3659081728,Mid-Cap,,24000000.0,89000000.0,-271000000.0,2583000000.0,1109000000.0,-13000000.0,10617000000.0,411000000.0,3731000000.0,3425000000.0
2025-06-30,AAP,3659081728,Mid-Cap,,15000000.0,57000000.0,-33000000.0,2010000000.0,874000000.0,51000000.0,10539000000.0,545000000.0,3692000000.0,3322000000.0
2023-12-31,AAPL,3791126003712,Large-Cap,,,,,,,,,,,
2024-03-31,AAPL,3791126003712,Large-Cap,,,,,,,,,,,
2024-06-30,AAPL,3791126003712,Large-Cap,,21448000000.0,2850000000.0,1684000000.0,85777000000.0,39678000000.0,25352000000.0,331612000000.0,22795000000.0,6165000000.0,47574000000.0
2024-09-30,AAPL,3791126003712,Large-Cap,,14736000000.0,2911000000.0,6608000000.0,94930000000.0,43879000000.0,29591000000.0,364980000000.0,33410000000.0,7286000000.0,68960000000.0
2024-12-31,AAPL,3791126003712,Large-Cap,,36330000000.0,3080000000.0,-10752000000.0,124300000000.0,58275000000.0,42832000000.0,344085000000.0,29639000000.0,6911000000.0,61910000000.0
2025-03-31,AAPL,3791126003712,Large-Cap,,24780000000.0,2661000000.0,-6507000000.0,95359000000.0,44867000000.0,29589000000.0,331233000000.0,26136000000.0,6269000000.0,54126000000.0
2025-06-30,AAPL,3791126003712,Large-Cap,,23434000000.0,2830000000.0,-2034000000.0,94036000000.0,43718000000.0,28202000000.0,331495000000.0,27557000000.0,5925000000.0,50374000000.0
2023-12-31,ABBV,389720408064,Large-Cap,,,,,,,,,,,3688000000.0
2024-03-31,ABBV,389720408064,Large-Cap,,,,,,,,,,,
2024-06-30,ABBV,389720408064,Large-Cap,,1370000000.0,2131000000.0,-3382000000.0,14462000000.0,10260000000.0,4935000000.0,141937000000.0,11724000000.0,4218000000.0,
2024-09-30,ABBV,389720408064,Large-Cap,,1561000000.0,2079000000.0,750000000.0,14460000000.0,10248000000.0,3913000000.0,143422000000.0,11472000000.0,4450000000.0,
2024-12-31,ABBV,389720408064,Large-Cap,,-22000000.0,2102000000.0,-397000000.0,15102000000.0,10706000000.0,84000000.0,135161000000.0,10919000000.0,4181000000.0,2945000000.0
2025-03-31,ABBV,389720408064,Large-Cap,,1286000000.0,2039000000.0,-2580000000.0,13343000000.0,9341000000.0,3981000000.0,136165000000.0,12477000000.0,4526000000.0,
2025-06-30,ABBV,389720408064,Large-Cap,,938000000.0,2050000000.0,-562000000.0,15423000000.0,11077000000.0,5717000000.0,137182000000.0,12637000000.0,4960000000.0,
2023-12-31,ABT,232438300672,Large-Cap,,,,,,,,,,,
2024-03-31,ABT,232438300672,Large-Cap,,,,,,,,,,,
2024-06-30,ABT,232438300672,Large-Cap,,1302000000.0,805000000.0,-428000000.0,10377000000.0,5774000000.0,1669000000.0,73017000000.0,6854000000.0,6814000000.0,4125000000.0
2024-09-30,ABT,232438300672,Large-Cap,,1646000000.0,801000000.0,163000000.0,10635000000.0,5937000000.0,1859000000.0,74356000000.0,7051000000.0,6813000000.0,4034000000.0
2024-12-31,ABT,232438300672,Large-Cap,,9229000000.0,807000000.0,-8391000000.0,10974000000.0,6032000000.0,1911000000.0,81414000000.0,6925000000.0,6194000000.0,4195000000.0
2025-03-31,ABT,232438300672,Large-Cap,,1325000000.0,756000000.0,-517000000.0,10358000000.0,5890000000.0,1693000000.0,81448000000.0,7327000000.0,6639000000.0,4214000000.0
2025-06-30,ABT,232438300672,Large-Cap,,1779000000.0,777000000.0,-407000000.0,11142000000.0,6288000000.0,2052000000.0,83999000000.0,7972000000.0,6954000000.0,4306000000.0
2023-12-31,ACGL,33918259200,Large-Cap,,,,,,,,,,,
2024-03-31,ACGL,33918259200,Large-Cap,,,,,,,,,,,
